EmployeeNumber,TotalWorkingYears,PercentSalaryHike,NumCompaniesWorked,YearsAtCompany,MonthlyRate,HireDate,WorkLifeBalance,StandardHours,EmployeeCount,EducationField,BusinessTravel,OverTime,DistanceFromHome,HourlyRate,YearsInCurrentRole,PerformanceRating,DailyRate,Attrition,Gender,Over18,JobInvolvement,TrainingTimesLastYear,YearsSinceLastPromotion,ManagerComments,JobLevel,StockOptionLevel,Age,JobSatisfaction,Department,MonthlyIncome,EnvironmentSatisfaction,MaritalStatus,RelationshipSatisfaction,YearsWithCurrManager,Education,JobRole
387,23,16,3,1,2987,27/12/12,1,80,1,Life Sciences,Frequently,YES,4 km,70,0,3,932,Y,Male,Y,3,3,1,Recently promoted,2,2,40,3,Research & Development,7838,1,Single,4,1,3,Manufacturing Director
388,26,24,5,6,19744,30/08/06,3,80,1,Life Sciences,None,No,1,39,0,3,779,Yes,male,Y,4,3,1,High potential,1,2,53,2,Research & Development,4830,2,Single,2,2,4,Research Scientist
389,2,12,5,2,25434,06/11/18,3,80,1,Life Sciences,Travel_Frequently,No,7,81,0,3,586,No,Female,Y,3,1,0,Flight risk,1,0,45,2,Sales,6341,2,Single,4,2,3,Sales Representative
390,,14,1,13,9546,11/07/15,2,80,1,Medical,Rarely,Y,17,86,1,3,722,FALSE,male,Y,3,0,3,Top performer,2,3,31,1,R&D,8501,4,M,3,1,3,Laboratory Technician
391,7,15,1,1,17233,04-25-2014,3,80,1,Medical,Travel_Rarely,N,1,32,0,3,318,No,M,Y,3,5,1,Recently promoted,2,3,28.0 years,3,Research&Development,6221,4,Married,4,1,4,Research Scientist
392,12,18,0,6,3726,11-21-2011,3,80,1,Life Sciences,Rarely,Y,7 km,86,1,3,820,1,M,Y,3,2,0,Needs improvement,1,1,41,4,Research & Development,4512,3,Divorced,1,2,2,Manufacturing Director
393,2,16,2,0,18149,06-25-2021,1,80,1,Marketing,Travel Frequently,NO,8,62,0,3,480,yes,FEMALE,Y,3,2,0,Remote worker,3,1,25.0 years,1,Research and Development,11991,4,S,3,0,3,Laboratory Technician
394,12,21,1,3,16268,03-14-2009,4,80,1,Marketing,Travel Rarely,No,4,36,0,3,186,no,m,Y,4,4,1,Meets expectations,4,3,53,2,Research&Development,nan,4,Married,4,2,4,Research Scientist
395,,12,2,0,15977,16/04/20,3,80,1,Medical,travel_rarely,Y,9,33,0,3,914,No,Male,Y,4,3,0,High potential,3,1,47.0 years,4,Research&Development,11393,4,Married,4,0,3,Research Scientist
396,3,15,1,3,2907,01/03/07,4,80,1,Life Sciences,Travel Rarely,N,4,68,3,4,510,N,m,Y,3,5,0,,3,1,32,3,R&D,12400,,SINGLE,4,0,3,Laboratory Technician
397,2,15,0,2,21208,11/12/15,3,80,1,Medical,Travel_Frequently,N,5,77,2,4,790,0,male,Y,3,1,0,Meets expectations,1,1,21,4,research & development,4457,3,married,2,1,3,Laboratory Technician
398,,16,4,0,15764,06/01/08,3,80,1,Life Sciences,travel_rarely,N,1,45,0,3,1112,No,MALE,Y,4,3,0,On PIP,1,0,49,,sales,5268,3,Single,4,0,4,Sales Representative
399,,11,2,1,26409,02/09/19,4,80,1,Life Sciences,Frequently,no,9,67,1,3,624,Yes,M,Y,3,1,1,Remote worker,1,2,35,1,Sales,$1000.0,3,M,3,1,4,Manager
400,7,18,1,2,10390,02/12/20,4,80,1,Marketing,Travel Rarely,No,8,33,2,4,546,no,M,Y,4,0,0,Transferred from other dept,3,1,48,3,Research and Development,10325,4,MARRIED,3,2,3,Laboratory Technician
401,17,13,2,1,4455,27/03/07,2,80,1,Life Sciences,travel_rarely,Yes,1,33,0,4,399,FALSE,MALE,Y,3,1,1,Good performer,4,1,22,4,Research and Development,15145,2,single,2,1,3,Manufacturing Director
402,3,15,1,0,7208,19/03/23,1,80,1,Life Sciences,Travel Rarely,N,3,56,0,3,507,Y,Male,Y,4,3,0,Exceeded expectations,3,0,31.0 years,3,Research & Development,10414,4,single,3,0,4,Laboratory Technician
403,9,17,1,1,9774,06-16-2019,2,80,1,Life Sciences,travel_rarely,NO,29,46,1,3,474,0,f,Y,4,3,0,Recently promoted,4,0,37,1,Research and Development,13300,3,MARRIED,3,1,1,Manufacturing Director
404,6,13,2,6,16556,12-31-2008,3,80,1,,Travel_Rarely,No,4,99,6,3,332,0,male,Y,4,2,1,Remote worker,2,0,37,2,R&D,$6437.0,2,D,3,1,2,Research Scientist
405,3,24,3,2,17428,03/04/21,3,80,1,Life Sciences,Non-Travel,NO,5,83,1,3,737,NO,m,Y,3,0,2,Exceeded expectations,2,0,32,4,R&D,$9505.0,3,married,4,0,4,Laboratory Technician
406,7,20,1,1,5365,01/08/11,3,80,1,Other,Rarely,Y,19,37,1,3,749,N,M,Y,3,3,0,Average,2,2,42,4,Research & Development,8822,2,married,2,0,4,Laboratory Technician
407,1,23,2,1,23663,08-18-2008,3,80,1,Life Sciences,travel_rarely,N,10 km,82,1,3,1060,yes,FEMALE,Y,4,-3,0,,1,0,27.0 years,3,Research and Development,6238,1,married,4,1,4,Research Scientist
408,10,16,3,0,7951,08-19-2016,3,80,1,Life Sciences,Travel_Rarely,No,6,34,0,3,1172,FALSE,M,Y,1,1,0,,1,0,35,2,Research&Development,2410,4,Divorced,4,0,3,Manufacturing Director
409,1,15,1,1,17175,06/02/06,3,80,1,Life Sciences,Rarely,Y,12,98,1,3,285,TRUE,M,Y,3,3,1,New hire,3,1,38,3,Sale,10759,4,Divorced,3,0,1,Sales Representative
410,13,17,1,3,13027,08-30-2012,3,80,1,Human Resources,travel_rarely,NO,15 km,76,3,3,1328,NO,female,Y,4,2,1,High potential,2,1,41,2,Research&Development,7579,2,MARRIED,2,1,3,Laboratory Technician
411,1,20,0,1,11505,04-13-2007,3,80,1,Medical,Frequently,Y,4,69,1,3,177,no,Male,Y,3,3,0,On PIP,2,0,43,2,R&D,7579,4,MARRIED,1,1,2,Laboratory Technician
412,,21,2,2,12094,14/03/15,3,80,1,Life Sciences,Travel_Rarely,Y,5,36,1,4,293,Yes,Male,Y,2,3,1,Exceeded expectations,2,0,26.0 years,3,sales,$7075.0,1,D,2,0,2,Sales Representative
413,17,13,0,6,25081,07/02/21,3,80,1,Technical Degree,Rarely,No,3,41,1,3,1226,YES,male,Y,3,2,1,,1,3,23,4,R&D,4480,2,M,4,2,4,Manufacturing Director
414,4,23,2,0,14167,02/02/21,4,80,1,Life Sciences,travel_rarely,yes,27 km,54,0,3,1499,no,FEMALE,Y,2,4,0,Flight risk,2,0,48,2,R&D,9274,1,MARRIED,2,0,1,Research Scientist
415,5,24,0,5,10769,14/09/12,3,80,1,Life Sciences,Travel Rarely,YES,9,57,0,3,386,No,m,Y,4,3,0,New hire,2,2,39,4,research & development,5130,1,S,2,2,4,Research Scientist
416,3,12,2,2,25060,27/07/08,4,80,1,Life Sciences,Travel_Rarely,no,1,72,0,3,349,yes,FEMALE,Y,4,0,1,,2,0,30,2,Research & Development,10665,2,divorced,1,2,3,Manufacturing Director
417,14,14,2,3,3020,09-15-2008,3,80,1,Life Sciences,travel_rarely,N,15,76,2,3,1324,FALSE,f,Y,4,3,1,Average,3,1,50,3,R&D,11725,4,Divorsed,2,3,3,Laboratory Technician
418,4,13,7,0,13845,04-14-2014,3,80,1,Life Sciences,non-travel,YES,5,78,0,3,635,N,Male,Y,2,3,0,Meets expectations,2,0,38,4,SALES,7936,4,single,2,0,1,Sales Executive
419,14,14,2,14,5844,19/05/07,4,80,1,Medical,Rarely,N,1,83,0,4,399,no,M,Y,3,3,2,Top performer,2,2,47,2,research & development,9360,4,M,1,3,3,Research Scientist
420,0,17,3,0,5573,24/02/13,3,80,1,Life Sciences,Travel_Frequently,no,6,47,0,3,1206,Y,M,Y,2,4,0,Flight risk,4,0,37,2,R&D,11822,3,M,4,0,1,Healthcare Representative
421,1,15,3,0,12485,08/01/13,4,80,1,Medical,Travel Rarely,no,4,56,0,3,908,no,MALE,Y,1,5,0,,4,0,55,1,SALES,13002,4,SINGLE,2,0,5,Sales Representative
422,4,14,1,0,7442,20/04/14,4,80,1,Life Sciences,Travel Rarely,NO,16,35,0,3,557,No,male,Y,3,6,0,On PIP,4,0,nan,4,sales,13818,3,DIVORCED,1,0,4,Manager
423,1,24,,1,9914,07/01/20,1,80,1,Life Sciences,Rarely,N,1 km,98,0,3,790,N,f,Y,3,3,1,High potential,1,2,34,3,Research & Development,7048,3,S,4,1,3,Manufacturing Director
424,9,16,1,1,24442,24/09/19,4,80,1,Life Sciences,Travel_Rarely,yes,14,51,1,3,1421,1,F,Y,2,3,1,,1,2,45,1,Sale,4930,4,single,3,0,2,Manager
425,0,17,1,0,9951,21/09/06,2,80,1,Human Resources,Travel Rarely,NO,6,88,0,3,1487,N,FEMALE,Y,2,0,0,Meets expectations,1,0,42,,Research & Development,5675,4,Married,1,0,5,Research Scientist
426,19,22,1,19,10802,01/04/18,1,80,1,Life Sciences,Travel_Rarely,Y,1,76,1,3,817,No,male,Y,2,4,0,Good performer,1,0,49,3,research & development,$4115.0,1,M,1,2,3,Manufacturing Director
427,14,24,1,5,10520,16/05/18,4,80,1,Medical,Rarely,N,28,97,4,3,139,N,Female,Y,4,0,2,,4,2,28,1,R&D,14730,2,SINGLE,1,5,2,Research Scientist
428,2,21,5,2,2546,18/04/14,3,80,1,Life Sciences,Travel_Rarely,YES,5,61,2,3,1463,no,female,Y,2,3,2,Remote worker,2,2,43,3,R&D,10515,2,MARRIED,3,2,3,Manufacturing Director
429,6,15,3,2,26914,01-28-2008,4,80,1,Life Sciences,Travel_Rarely,N,2,30,0,3,207,yes,Female,Y,3,1,0,High potential,1,1,46,3,Sale,6493,3,M,1,2,5,Sales Executive
430,6,22,0,6,17530,08/10/21,3,80,1,Life Sciences,Travel_Frequently,no,5,83,6,3,1439,1,MALE,Y,1,2,2,On PIP,1,3,21,2,Research and Development,4877,3,SINGLE,3,2,1,Research Scientist
431,12,17,1,3,21565,26/08/12,3,80,1,Life Sciences,Rarely,no,15,75,3,3,1237,N,female,Y,3,1,3,Meets expectations,1,0,26,3,Research and Development,6013,3,single,4,3,2,Healthcare Representative
432,5,13,0,1,10998,09/09/19,1,80,1,Life Sciences,Rarely,NO,2,70,0,3,1290,no,MALE,Y,3,1,1,Excellent team player,2,0,18,2,R&D,8866,1,MARRIED,2,1,5,Healthcare Representative
433,0,17,2,0,13465,29/08/10,3,80,1,Life Sciences,Rarely,No,1,70,0,3,360,N,Male,Y,3,1,0,Good performer,3,0,34,4,R&D,11759,3,Single,3,0,2,Research Scientist
434,3,22,2,2,22371,01/08/20,2,80,1,Marketing,Travel Rarely,N,1,37,2,3,1347,NO,M,Y,3,2,0,Exceeded expectations,4,1,43,1,Research & Development,15667,3,Divorced,4,2,2,Laboratory Technician
435,6,13,1,6,17616,14/12/20,1,80,1,Life Sciences,travel_rarely,no,2,61,6,3,1385,yes,F,Y,1,2,0,Flight risk,4,0,50,1,R&D,15656,3,Divorsed,4,1,3,Laboratory Technician
436,36,24,3,3,21717,10/11/17,3,80,1,Medical,Travel_Rarely,no,12,59,0,3,1374,N,Female,Y,2,3,1,Flight risk,1,0,37,4,Sale,4809,4,divorced,4,3,4,Sales Executive
437,21,16,2,8,21124,22/08/20,4,80,1,Life Sciences,travel_rarely,no,5,75,3,4,625,FALSE,m,Y,4,2,5,Recently promoted,1,0,51,,Research and Development,29810,3,SINGLE,3,4,3,Healthcare Representative
438,2,18,2,2,14717,03/02/10,3,80,1,Medical,Travel_Frequently,yes,2,81,0,3,809,no,m,Y,4,3,1,Top performer,1,1,24,2,Research and Development,4425,1,DIVORCED,3,0,5,Research Scientist
439,12,23,1,3,17425,14/07/04,2,80,1,Medical,Non-Travel,Y,1,90,3,3,225,FALSE,M,Y,3,4,3,,2,0,21,4,Research & Development,6615,2,M,3,0,3,Research Director
440,27,16,1,3,6901,14/10/14,2,80,1,Life Sciences,Travel_Frequently,No,3,42,3,3,1329,NO,M,Y,2,3,2,Recently promoted,4,0,36,4,Research and Development,13595,,Married,4,3,1,Research Scientist
441,0,20,0,0,13842,20/03/08,2,80,1,Life Sciences,None,N,22,69,0,4,1263,YES,male,Y,2,0,0,Needs improvement,2,3,40,2,Research and Development,7885,2,S,3,0,5,Manufacturing Director
442,12,21,4,0,7708,24/09/18,2,80,1,Marketing,Travel Frequently,N,3,90,0,3,1185,no,male,Y,3,2,0,Top performer,3,0,36,10,Saless,8507,2,S,4,0,3,Sales Representative
443,6,13,2,6,4082,13/05/14,3,80,1,Technical Degree,Rarely,NO,29,73,6,3,1406,NO,F,Y,4,2,0,High potential,2,0,18,3,Human Resourses,9290,4,MARRIED,4,1,2,Human Resources
444,11,22,,11,23036,26/06/12,3,80,1,Life Sciences,Travel_Rarely,no,5 km,91,1,3,153,no,m,Y,3,5,0,Excellent team player,1,1,36,4,Research&Development,1000,2,Married,4,1,3,Research Scientist
445,9,15,1,1,22970,05/10/22,2,80,1,Life Sciences,travel_frequently,no,1,73,1,3,445,No,male,Y,1,1,0,New hire,1,2,25,4,Research and Development,9072,4,S,3,1,3,Healthcare Representative
446,40,19,4,12,11795,18/11/17,1,80,1,Technical Degree,Travel_Rarely,Yes,17,77,0,3,235,FALSE,Male,Y,3,3,0,Key talent,2,1,43,4,Sales,$10252.0,2,MARRIED,3,1,1,Sales Representative
447,3,18,2,1,14541,01-18-2016,4,80,1,Life Sciences,Travel_Rarely,No,4,88,1,3,429,0,female,Y,4,0,0,New hire,3,0,40,4,Research & Development,nan,1,single,2,1,1,Research Scientist
448,15,16,4,3,2260,19/05/18,4,80,1,Medical,Travel Rarely,NO,9,86,3,3,1267,No,female,Y,3,2,1,Good performer,1,2,28.0 years,4,Research and Development,5014,,Married,3,0,3,Laboratory Technician
449,2,19,0,2,22180,08/11/22,2,80,1,Life Sciences,Travel_Rarely,NO,29,40,1,3,1405,YES,female,Y,4,4,1,Flight risk,3,1,32,2,R&D,11454,,MARRIED,3,2,4,Research Scientist
450,5,12,3,0,15567,28/11/23,3,80,1,Life Sciences,Rarely,YES,1,54,0,3,235,yes,MALE,Y,3,2,0,Average,3,0,27,4,Saless,10116,,divorced,1,0,3,Sales Executive
451,37,23,4,0,7982,20/03/07,3,80,1,Medical,Travel Rarely,no,1,90,0,4,912,Yes,Male,Y,2,2,0,Exceeded expectations,2,1,36,3,Research and Development,8288,3,D,3,0,5,Laboratory Technician
452,14,21,3,2,2500,09/07/17,3,80,1,Medical,Travel Rarely,no,10,75,2,3,951,N,M,Y,2,5,1,Remote worker,3,1,45,4,Sales,10784,1,M,4,2,2,Sales Executive
453,3,19,6,0,3015,26/04/10,4,80,1,Life Sciences,Travel Rarely,No,2,83,0,4,970,Y,f,Y,2,1,0,Exceeded expectations,2,1,28,4,Sales,7858,4,M,4,0,2,Sales Representative
454,9,20,1,0,12525,10/10/19,3,80,1,Medical,Non-Travel,No,1,63,0,3,991,N,f,Y,3,3,0,New hire,3,3,41,3,Research&Development,11272,4,married,4,0,2,Manufacturing Director
455,0,23,3,0,26489,25/11/12,3,80,1,Marketing,Travel Rarely,NO,1,36,0,3,734,yes,F,Y,3,2,0,Transferred from other dept,3,1,32,1,Sale,9029,3,divorced,2,0,2,Manager
456,3,20,1,0,26048,03/02/17,4,80,1,Medical,Travel Frequently,N,1,91,0,3,768,NO,FEMALE,Y,3,5,0,Average,5,2,29,4,SALES,$17059.0,,M,2,0,2,Sales Representative
457,12,16,2,0,5963,30/11/08,3,80,1,Life Sciences,Frequently,No,11,86,0,3,1393,no,f,Y,2,4,0,Flight risk,1,1,nan,1,Research and Development,5245,2,S,3,0,4,Research Director
458,,19,2,4,23702,07-18-2011,4,80,1,Medical,travel_rarely,yes,1,34,4,3,1140,NO,male,Y,4,1,0,Excellent team player,2,0,27,3,research & development,$8193.0,1,single,2,1,4,Laboratory Technician
459,6,22,0,6,13866,30/12/20,3,80,1,Medical,Frequently,Yes,5,64,3,3,368,0,f,Y,2,5,0,On PIP,1,1,32,3,Research&Development,4676,4,MARRIED,4,3,5,Laboratory Technician
460,11,14,4,1,14247,04-18-2007,4,80,1,Marketing,Rarely,no,7,66,1,3,960,no,Male,Y,2,2,1,Recently promoted,1,0,26,1,Research&Development,6706,4,Married,1,1,2,Research Director
461,5,15,1,0,4706,04/04/07,4,80,1,Medical,travel_frequently,N,4,89,0,3,581,FALSE,Male,Y,1,1,0,Flight risk,3,0,54,4,Research & Development,10469,3,D,3,0,4,Laboratory Technician
462,0,12,,0,17272,22/01/12,3,80,1,,travel_rarely,NO,1,94,0,3,1342,0,M,Y,2,3,0,Average,4,2,37,2,research & development,14340,2,single,2,0,3,Research Scientist
463,5,13,0,0,24519,30/07/18,1,80,1,Medical,No Travel,NO,12,45,0,3,1442,no,MALE,Y,4,3,0,High potential,2,1,30,4,Research&Development,9945,2,MARRIED,3,0,2,Manufacturing Director
464,23,11,3,6,24165,18/03/19,4,80,1,Medical,Frequently,NO,1,59,6,3,1361,0,MALE,Y,2,3,2,Average,1,0,38,4,,nan,4,DIVORCED,4,4,4,Manager
465,19,14,3,0,4099,12-18-2021,4,80,1,Life Sciences,Travel_Rarely,Yes,11,71,0,4,384,0,m,Y,2,3,0,Recently promoted,1,0,35.0 years,3,R&D,$5321.0,2,Divorsed,4,0,3,Manufacturing Director
466,5,22,2,1,8386,29/12/20,3,80,1,Medical,Frequently,NO,17,90,1,4,1160,no,MALE,Y,3,3,0,On PIP,2,0,35,4,Research and Development,7855,4,MARRIED,4,1,2,Laboratory Technician
467,0,12,1,0,7338,03/06/10,2,80,1,Life Sciences,travel_rarely,no,4 km,77,0,4,202,No,MALE,Y,3,5,0,,1,2,42,3,Research & Development,6856,3,M,3,0,3,Manufacturing Director
468,,22,0,1,20949,10/06/10,4,80,1,Medical,Travel Rarely,No,6,91,1,3,891,N,m,Y,2,4,1,Transferred from other dept,1,0,43,3,research & development,4613,,single,4,1,2,Research Director
469,,12,2,8,10300,03/02/04,3,80,1,Life Sciences,Travel Frequently,No,5,93,2,3,338,0,Male,Y,2,3,2,,3,1,32,3,Research & Development,12925,2,Divorced,3,1,4,Research Scientist
470,,11,2,0,23400,25/08/19,3,80,1,Medical,Non Travel,N,3,86,0,3,840,N,male,Y,2,2,0,Average,1,1,31,4,Research&Development,$4844.0,1,single,4,0,3,Manufacturing Director
471,6,20,5,6,26641,12/03/13,4,80,1,Technical Degree,Travel Rarely,N,17,97,3,3,744,no,M,Y,4,4,4,Meets expectations,2,1,34,3,Research&Development,6710,3,divorced,4,2,5,Research Scientist
472,40,22,4,1,21465,03-29-2022,3,80,1,Marketing,Non-Travel,No,17,75,0,3,1248,0,Female,Y,3,3,0,Flight risk,3,0,18,4,sales,12019,4,MARRIED,2,0,1,Sales Representative
473,8,12,3,8,6297,14/01/10,4,80,1,Technical Degree,Travel_Rarely,No,3,57,8,3,981,N,FEMALE,Y,4,6,1,High potential,1,0,23,3,SALES,4542,2,Married,4,2,3,Sales Representative
474,4,14,0,1,24297,26/08/07,3,80,1,Other,travel_rarely,No,7,32,1,4,706,N,FEMALE,Y,2,1,0,Good performer,2,2,49,2,research & development,8930,3,S,3,1,3,Research Scientist
475,9,16,4,1,21332,07/11/06,4,80,1,Life Sciences,Travel Rarely,No,20,66,1,3,287,NO,f,Y,3,3,1,Key talent,3,2,51,1,Sales,6905,4,M,3,0,3,Sales Executive
476,1,23,0,1,10405,03/10/07,3,80,1,Medical,Frequently,Yes,26,77,1,4,987,Yes,M,Y,4,6,0,Flight risk,3,1,34,2,SALES,nan,3,MARRIED,3,1,3,Sales Representative
477,2,22,1,0,24595,19/01/21,4,80,1,Medical,Travel Rarely,no,5,48,0,3,1379,FALSE,female,Y,2,3,0,Excellent team player,2,1,42,4,Research&Development,$7310.0,3,S,4,0,4,Research Scientist
478,25,17,2,8,17094,07-29-2011,3,80,1,Technical Degree,Rarely,No,4,46,2,3,1086,N,m,Y,3,3,4,On PIP,1,0,39,,human resources,$3405.0,3,married,4,0,4,Human Resources
479,2,17,2,2,17201,03-31-2004,3,80,1,Life Sciences,Frequently,no,2,69,2,3,1023,FALSE,m,Y,3,6,1,On PIP,3,0,60,4,Sales,10170,4,DIVORCED,4,2,5,Sales Representative
480,,17,1,3,14614,12/10/04,2,80,1,Other,Travel_Frequently,NO,25,79,1,3,893,no,female,Y,3,3,3,High potential,3,2,47,4,Research and Development,10139,2,Married,2,1,4,Research Scientist
481,,14,3,0,15361,02-17-2016,3,80,1,Medical,Travel Rarely,no,1,58,0,3,629,no,male,Y,3,3,0,Meets expectations,1,2,35,1,Research&Development,4928,4,married,2,0,4,Laboratory Technician
482,22,22,2,5,3040,11/11/13,3,80,1,Marketing,travel_rarely,YES,6,80,1,3,775,NO,FEMALE,Y,3,0,1,Good performer,1,1,28,2,Research and Development,2949,3,Single,4,0,3,Research Director
483,15,15,,4,14810,04-15-2021,4,80,1,Life Sciences,Travel Rarely,N,2,71,4,3,491,N,f,Y,4,3,4,,1,1,22,2,research & development,5474,3,Married,2,0,4,Research Scientist
484,0,24,4,0,9988,27/05/22,3,80,1,Life Sciences,Travel Rarely,N,2,58,0,4,1376,1,Female,Y,4,2,0,Excellent team player,1,0,38,2,SALES,7049,,single,2,0,3,Sales Executive
485,11,21,6,1,25857,03/04/12,4,80,1,Marketing,non-travel,Yes,4,95,1,3,771,yes,Female,Y,3,1,1,Needs improvement,2,0,nan,1,research & development,8421,3,Married,2,1,3,Laboratory Technician
486,7,22,6,7,9559,08-14-2012,4,80,1,Life Sciences,travel_rarely,yes,29,46,1,4,960,0,m,Y,2,3,6,On PIP,1,1,24,2,SALES,$6213.0,1,DIVORCED,2,2,3,Sales Representative
487,6,13,1,6,19371,05/03/20,2,80,1,Marketing,Travel Rarely,NO,1,60,2,3,1299,no,male,Y,4,0,2,,1,3,31,4,Saless,nan,3,MARRIED,3,0,3,Manager
488,11,11,3,10,21579,04-17-2008,2,80,1,Life Sciences,non-travel,NO,6,81,5,3,565,0,M,Y,2,5,0,Top performer,3,0,27,3,R&D,12854,1,single,2,5,2,Healthcare Representative
489,2,24,3,2,23483,04/06/17,2,80,1,,Frequently,no,1,68,2,3,938,Yes,male,Y,1,3,0,Remote worker,1,0,52,3,sales,7805,4,M,4,2,5,Sales Representative
490,39,18,4,2,2503,22/03/11,2,80,1,Life Sciences,Travel_Rarely,No,1,89,2,3,1087,N,female,Y,3,3,0,Meets expectations,3,0,44,3,research & development,10251,4,Married,4,0,3,Research Scientist
491,10,20,1,0,7344,11/05/08,3,80,1,Medical,travel_rarely,yes,4,80,0,3,1412,No,F,Y,3,2,0,,3,0,36,2,research & development,9922,4,married,4,0,1,Research Scientist
492,4,21,3,4,10947,26/08/05,3,80,1,,Non Travel,Y,5,45,2,4,1173,No,female,Y,4,2,4,Exceeded expectations,1,1,50,3,R&D,6175,3,Divorced,3,0,3,Laboratory Technician
493,9,17,2,9,11533,24/07/08,3,80,1,Life Sciences,Rarely,Y,2,43,2,3,103,N,M,Y,4,2,1,,3,3,37,1,Research&Development,12062,4,divorced,3,0,1,Research Scientist
494,2,24,3,0,16808,05-27-2012,3,80,1,Life Sciences,Travel_Rarely,No,3,71,0,3,951,FALSE,m,Y,4,2,0,Recently promoted,3,2,29.0 years,4,Research&Development,12163,4,Married,3,0,2,Manufacturing Director
495,10,19,6,2,10148,17/03/20,3,80,1,Life Sciences,travel_rarely,no,1,80,0,3,1346,0,M,Y,4,4,2,Key talent,2,2,50,2,SALES,10833,2,M,2,2,2,Sales Representative
496,,24,1,0,16155,30/06/12,2,80,1,Medical,Travel_Rarely,N,2,53,0,3,1385,No,Male,Y,3,4,0,Transferred from other dept,1,1,41,4,Sale,25085,3,single,1,0,3,Sales Executive
497,4,20,1,0,24394,10/06/06,2,80,1,Medical,Travel Rarely,YES,27 km,72,0,3,634,Y,F,Y,2,4,0,Transferred from other dept,2,1,27,4,Research&Development,8639,3,SINGLE,4,0,3,Healthcare Representative
498,,14,1,1,17193,20/04/10,3,80,1,Marketing,travel_rarely,YES,23 km,48,0,3,1002,0,male,Y,3,3,1,Transferred from other dept,4,3,35.0 years,,Sales,12529,1,M,2,1,4,Sales Executive
499,16,22,2,16,3381,17/10/19,2,80,1,Medical,Rarely,no,3,90,6,3,1499,N,m,Y,3,3,4,Meets expectations,2,0,29,4,SALES,11202,4,MARRIED,1,1,4,Sales Executive
500,2,22,7,2,23986,04/02/11,3,80,1,Medical,None,No,6,92,0,4,1184,Y,M,Y,3,3,2,New hire,1,3,24,2,Research and Development,nan,2,M,3,2,3,Manufacturing Director
501,7,15,2,7,9012,17/04/08,2,80,1,Life Sciences,Non-Travel,NO,19,55,1,3,1479,TRUE,female,Y,3,2,2,Exceeded expectations,3,2,45,1,R&D,10537,3,MARRIED,4,3,3,Laboratory Technician
502,7,15,2,0,17213,10/03/06,3,80,1,,Rarely,NO,1,64,0,3,745,Yes,F,Y,4,3,0,,2,0,54,2,Sale,7479,4,S,4,0,3,Sales Executive
503,5,23,3,1,17212,08-14-2012,3,80,1,Life Sciences,Rarely,N,13,96,1,3,123,N,m,Y,2,1,1,,2,1,24,4,Research&Development,7032,2,Married,4,1,4,Research Scientist
504,2,17,1,2,15808,22/02/12,3,80,1,Other,travel_rarely,NO,23,85,2,3,1416,Y,m,Y,2,3,0,,3,0,42,1,Research&Development,9905,2,SINGLE,2,1,1,Laboratory Technician
505,,23,2,3,12711,19/10/04,2,80,1,Technical Degree,Travel_Rarely,no,1,69,2,3,656,no,Male,Y,3,2,1,Excellent team player,2,0,31.0 years,2,Research and Development,7214,1,Single,4,2,1,Manufacturing Director
506,2,19,1,1,22110,13/01/08,2,80,1,Life Sciences,Frequently,yes,1,58,1,3,790,Yes,m,Y,4,3,0,Flight risk,3,0,32,3,Sale,8951,3,divorced,4,1,4,Manager
507,24,18,2,10,17173,01/04/21,3,80,1,Medical,Travel Rarely,Y,25,35,2,3,455,0,female,Y,1,2,0,High potential,3,2,31,4,research & development,nan,1,Single,2,0,3,Laboratory Technician
508,7,17,2,7,20271,24/11/22,4,80,1,Technical Degree,travel_rarely,no,6 km,81,4,3,969,No,f,Y,4,1,1,Average,2,2,29,2,research & development,10923,4,MARRIED,4,0,2,Laboratory Technician
509,20,24,2,1,11515,17/05/17,2,80,1,Medical,Frequently,no,1,30,0,3,1040,FALSE,m,Y,4,3,1,On PIP,1,0,37,3,R&D,$6103.0,3,S,3,1,2,Manufacturing Director
510,3,11,2,0,22193,08/06/20,2,80,1,Life Sciences,Rarely,Y,2,81,0,3,674,FALSE,male,Y,2,2,0,Remote worker,3,0,29,2,H.R.,12388,3,Divorced,1,0,5,Manager
511,16,22,1,0,13939,09/09/17,2,80,1,Life Sciences,Rarely,Y,4,53,0,3,128,Y,female,Y,4,2,0,Top performer,4,1,39,1,research & development,15765,2,M,2,0,4,Research Scientist
512,1,20,1,1,4131,11/08/17,3,80,1,Medical,travel_frequently,Y,9,63,1,3,456,yes,m,Y,1,2,1,Meets expectations,1,0,36,4,R&D,7751,2,single,3,1,4,Laboratory Technician
513,14,23,3,0,4424,06/10/22,4,80,1,Human Resources,travel_rarely,Y,10,36,0,4,464,yes,f,Y,3,2,0,Average,2,1,34,3,Sales,nan,4,married,3,0,3,Sales Representative
514,4,16,2,3,13576,05/03/18,1,80,1,Medical,Travel_Rarely,NO,29,40,2,3,707,NO,M,Y,3,4,3,Recently promoted,1,1,28,4,Research and Development,3155,2,MARRIED,4,3,3,Laboratory Technician
515,6,20,5,3,23823,18/03/19,3,80,1,Life Sciences,non-travel,No,2,65,3,3,508,YES,m,Y,4,3,2,Remote worker,3,1,31,4,H.R.,9794,4,D,2,1,5,Human Resources
